_seg_id,x,y,protein_0,protein_1,protein_2,protein_3,protein_4,protein_5,protein_6,protein_7,protein_8,protein_9,protein_10,protein_11,protein_12,protein_13,protein_14,protein_15,protein_16,protein_17,cell_type,region_type,cell_type_id,region_type_id,neighbor_label
79541,1552.5651300000009,0.8697320000001127,5.984,24.272,2.425142857,1.992,2.750857143,302.1382857,0.0,0.642285714,161.2571429,50.59885714,20.74285714,46.54285714,7.0,134.7062857,0.0,0.0,269.7954286,318.6605714,immune,core,0,0,0
79577,1263.6194899999991,0.8306259999999384,5.74184261,294.831094,0.513435701,0.105566219,3.020153551,352.9913628,0.0,0.086372361,248.1401152,34.2168906,113.8608445,94.47120921,106.4117083,14.5671785,0.498080614,0.020153551,392.8080614,35.9462572,immune,core,0,0,0
79644,447.87931000000026,2.1674880000000485,4.448630137,93.91780822,1.508561644,1.059931507,3.849315068,409.9760274,0.0,0.046232877,234.0428082,84.68664384,132.7277397,87.33561644,3.260273973,9.940068493,0.0,0.0,518.7636986,129.5993151,immune,core,0,0,0
79748,199.06897000000023,2.675862000000052,1.79009901,168.6970297,3.906930693,2.467326733,8.582178218,333.8475248,0.0,0.24950495,244.6178218,7.704950495,7.97029703,33.3029703,0.825742574,311.7960396,0.0,0.0,35.42772277,564.1841584,immune,core,0,0,0
79749,492.4826499999999,1.1545740000001388,11.14414414,33.41261261,4.506306306,2.362162162,3.398198198,408.1351351,0.0,0.034234234,283.6576577,48.25405405,156.6054054,57.93693694,6.484684685,1.807207207,0.0,0.0,377.4072072,181.354955,immune,core,0,0,0
79821,318.0551200000009,2.976378000000296,3.044378698,398.1469428,0.0,0.0,3.565088757,384.5956607,0.0,0.079881657,167.9240631,120.8885602,34.91025641,82.44674556,295.0157791,101.4625247,0.111439842,0.007889546,135.7179487,334.8451677,immune,core,0,0,0
79823,1569.05091,2.5418179999996937,5.034285714,22.59619048,9.19047619,4.752380952,2.638095238,386.2857143,0.0,0.026666667,246.9352381,28.00571429,33.63238095,107.7733333,39.55619048,14.26666667,0.0,0.0,317.56,155.6533333,immune,core,0,0,0
79859,555.0338300000003,3.860902000000351,6.182440137,132.2611174,0.761687571,0.307867731,108.8047945,279.6940639,0.0,1.670467503,243.2052452,1.262257697,75.41304348,130.7883295,11.54576659,1.708237986,0.0261959,0.002277904,122.6742597,288.1047836,immune,core,0,0,0
79860,808.2764900000002,5.496124000000236,20.12139605,64.83763278,23.06525038,1.506828528,4.801213961,387.3975721,0.0,0.019726859,286.1305008,21.80273141,61.1198786,165.4931715,51.81335357,15.41274659,0.0,0.0,388.6631259,128.6358118,immune,core,0,0,0
79894,18.371209999999337,0.772726999999577,3.672977625,292.4888124,0.00172117,0.020654045,6.018932874,369.9586919,0.0,0.893287435,267.7056799,0.289156627,134.6247849,123.6041308,93.12392427,18.26850258,0.0,0.0,60.39759036,575.1549053,immune,core,0,0,0
79895,528.9781000000003,2.5510949999998047,3.395881007,933.0228833,0.0,0.0,4.789473684,394.826087,0.0,0.711670481,299.7894737,0.04576659,115.597254,95.33180778,12.40045767,25.15331808,0.0,0.0,248.6498856,165.228833,immune,core,0,0,0
79896,767.7236799999991,6.368421000000126,9.909390445,34.89785832,30.18945634,2.537067545,13.68533773,456.8121911,0.0,0.031301483,167.4415157,134.0757825,87.21746293,134.5370675,54.49588138,6.481054366,0.0,0.0,547.0510708,97.907743,immune,core,0,0,0
79897,872.9650299999994,2.307692000000316,5.223602484,23.63664596,6.329192547,2.48136646,4.189440994,252.7826087,0.0,0.093167702,73.1242236,80.04968944,6.431677019,2.97826087,0.0,797.0776398,0.0,0.0,15.91925466,978.3540373,immune,core,0,0,0
79898,1686.2134800000003,6.0056180000001405,11.55024712,19.66392092,5.492586491,3.252059308,111.5321252,286.4497529,0.0,0.50247117,281.3887974,0.235584843,72.18945634,153.2487644,43.65074135,29.26194399,0.0,0.0,43.79571664,477.7973641,immune,core,0,0,0
79899,1874.14108,8.6763490000003,4.201079622,95.06072874,0.997300945,0.263157895,3.456140351,364.5222672,0.0,0.541160594,256.317139,13.85155196,0.770580297,106.9095816,88.17813765,184.7611336,0.0,0.0,214.2078273,357.8785425,immune,core,0,0,0
79926,508.70084999999926,2.4444439999997485,7.937759336,255.7676349,0.020746888,0.004149378,2.89626556,406.7178423,0.0,0.124481328,336.0622407,3.485477178,170.4896266,66.72614108,5.360995851,1.950207469,0.0,0.0,170.1244813,355.9253112,immune,core,0,0,0
79927,856.6024500000003,4.792048999999679,8.666158537,83.1570122,6.699695122,0.705792683,3.925304878,334.7743902,0.0,0.056402439,101.4237805,94.82621951,25.10670732,41.40091463,25.40396341,535.4618902,0.0,0.0,311.6722561,412.2118902,immune,core,0,0,0
79928,923.6979200000004,4.447917000000416,6.018957346,35.58293839,1.3507109,0.853080569,3.772511848,305.1327014,0.0,0.424960506,143.3886256,20.63507109,25.03949447,29.63033175,0.004739336,1075.728278,0.0,0.0,4.454976303,777.4676145,immune,core,0,0,0
79929,1069.5688599999994,2.1796409999997195,3.70411985,39.06491885,13.25468165,1.384519351,19.16978777,325.9126092,0.0,0.960049938,304.5805243,0.0,107.1585518,119.8501873,57.60923845,16.70287141,1.274656679,0.222222222,9.15980025,267.9463171,immune,core,0,0,0
79930,1289.7592600000007,4.140741000000162,5.826484018,153.47793,0.619482496,0.121765601,2.659056317,419.6773212,0.0,0.412480974,343.7031963,2.336377473,5.946727549,177.8158295,31.79452055,12.86757991,0.0152207,0.0,210.6347032,125.3394216,immune,core,0,0,0
79931,1938.25888,4.553299000000152,8.428211587,149.5088161,0.013853904,0.003778338,3.706549118,249.7241814,0.0,2.496221662,223.9798489,4.59697733,40.61083123,42.80352645,2.280856423,310.8224181,0.0,0.0,67.99244332,856.2984887,immune,core,0,0,0
79969,56.79528000000028,2.6850389999999607,5.080952381,187.252381,1.047619048,0.416666667,3.385714286,406.2690476,0.0,0.45,245.7785714,30.50714286,31.88809524,93.42619048,89.88095238,256.402381,0.045238095,0.011904762,148.1428571,224.6261905,immune,core,0,0,0
79970,118.2150500000007,5.663082000000031,4.230075188,25.66315789,19.04962406,4.109774436,4.978947368,334.4345865,0.0,0.616541353,274.0962406,0.015037594,134.6195489,121.6,15.76240602,61.39699248,0.04962406,0.021052632,166.4240602,194.7894737,immune,core,0,0,0
79994,1199.077359999999,8.157592999999906,14.65786579,128.0847085,9.545654565,1.01320132,2.844884488,420.7953795,0.0,0.418041804,151.0539054,64.49394939,42.76127613,50.62926293,102.7909791,369.8822882,0.03190319,0.0,233.2882288,348.6028603,immune,core,0,0,0
79995,1621.9639000000006,6.649819000000207,5.930107527,575.4798387,0.826612903,0.040322581,3.819034853,332.8418231,0.0,1.176470588,230.9518717,0.942513369,81.04417671,117.3212851,14.86746988,57.31057564,0.0,0.0,169.4799465,376.4451872,immune,core,0,0,0
80013,175.32184000000052,6.436781999999766,3.100358423,264.3763441,0.010752688,0.0,8.458781362,386.2473118,0.0,0.021505376,91.64157706,141.5053763,235.1290323,74.64874552,0.035842294,63.62365591,0.0,0.0,128.3082437,375.1899642,immune,core,0,0,0
80014,710.8585899999998,6.09595999999965,46.16708861,7.405063291,118.3291139,2.807594937,5.832911392,342.678481,0.0,0.0,66.59240506,279.5291139,172.5063291,144.2,1.716455696,29.50379747,0.0,0.0,452.756962,37.28860759,immune,core,0,0,0
80015,1362.7835799999991,9.024876000000404,8.562570462,99.49718151,3.521984216,1.86583991,3.445321308,413.4069899,0.0,0.282022472,256.7640449,23.0494382,11.52921348,180.7292135,22.73146067,26.24382022,0.002247191,0.0,151.041573,432.047191,immune,core,0,0,0
80016,1724.1761700000006,10.668394000000262,9.354887218,16.54285714,5.437593985,4.664661654,3.440601504,303.4736842,0.0,0.422556391,240.4165414,3.266165414,10.75037594,103.406015,138.118797,152.2706767,0.010526316,0.0,99.22556391,269.4225564,immune,core,0,0,0
80017,1795.64667,10.86444399999982,8.869763206,439.6976321,0.00273224,0.007285974,7.846083789,259.7040073,0.0,2.624772313,203.2959927,0.010018215,4.550091075,54.24134791,15.49453552,287.1229508,0.0,0.0,192.9653916,264.5309654,immune,core,0,0,0
80018,1998.21162,8.954356999999618,9.365062762,37.14330544,1.986401674,2.026150628,70.4394572,230.34238,0.0,1.959332638,241.4973931,0.192909281,13.6388309,81.62943633,2.279749478,117.5281837,0.0,0.0,154.1703239,160.7220481,immune,core,0,0,0
80050,355.75368999999955,9.046798000000308,2.901891253,246.0460993,0.144208038,0.070921986,5.742316785,329.2730496,0.0,0.174940898,265.2044917,19.71276596,56.22458629,199.0496454,88.52955083,24.60047281,0.0,0.0,62.58037825,385.56974,immune,core,0,0,0
80051,420.19481000000087,6.461038999999801,7.835294118,35.02745098,1.678431373,1.784313725,4.984313725,416.6862745,0.0,0.0,214.9921569,171.7647059,0.145098039,72.54509804,235.572549,132.1647059,0.0,0.0,163.345098,1103.803922,immune,core,0,0,0
80052,840.4017100000001,5.427349999999933,6.692,215.54,5.536,0.308,4.468,380.792,0.0,0.236,326.232,6.452,81.648,200.728,89.292,26.04,0.0,0.0,258.02,315.74,immune,core,0,0,0
80053,1850.1272700000009,5.781818000000385,7.498442368,29.65109034,5.127725857,4.052959502,4.552795031,235.8478261,0.0,2.48136646,197.5093168,0.347826087,2.777089783,89.98142415,37.07120743,36.18885449,0.015384615,0.0,56.07076923,364.1323077,immune,core,0,0,0
80098,281.6526900000008,8.167664999999943,3.587223587,206.027027,0.078624079,0.00982801,4.00982801,331.8968059,0.0,1.027027027,271.7886978,6.626535627,10.38329238,94.68796069,116.0884521,73.24078624,0.0,0.0,27.12285012,606.0,immune,core,0,0,0
80099,1314.1333300000006,9.377778000000037,5.246492986,255.0661323,0.004008016,0.0,3.308617234,455.7995992,0.0,0.062124248,331.6693387,2.486973948,2.831663327,141.741483,25.49298597,56.71943888,0.0,0.0,388.5671343,32.34669339,immune,core,0,0,0
80130,394.4528300000002,9.597483999999897,4.5078125,46.44010417,5.854166667,2.697916667,55.21354167,361.0208333,0.0,0.0390625,293.109375,38.02083333,17.5390625,21.22395833,46.50520833,445.7473958,0.0,0.0,55.8203125,579.1041667,immune,core,0,0,0
80131,692.4542399999991,11.762711999999738,9.629834254,34.14548803,17.73848987,3.38121547,5.926335175,313.7955801,0.0,0.020257827,14.22651934,186.7569061,50.90791897,96.15469613,0.034990792,361.7937385,0.167587477,0.230202578,302.8526703,96.31860037,immune,core,0,0,0
80132,1972.99635,15.937955999999758,10.66314554,181.3239437,0.106807512,0.123239437,6.556338028,364.2664319,0.0,0.40258216,308.4894366,6.448356808,17.41784038,163.5457746,20.7899061,36.03403756,0.0,0.0,384.3521127,40.23356808,immune,core,0,0,0
80169,79.48799999999937,8.960000000000036,5.973544974,31.22751323,12.4973545,5.08994709,4.888888889,202.2169312,0.0,1.944444444,133.8730159,2.087301587,2.333333333,8.044973545,25.44444444,312.8809524,0.0,0.0,70.78306878,278.0714286,immune,core,0,0,0
80170,100.93243000000076,9.614864999999554,5.04248366,36.69281046,3.212418301,1.836601307,11.52287582,342.7385621,0.0,0.810457516,269.1601307,0.003267974,2.509803922,171.8104575,36.14379085,57.74509804,0.0,0.0,158.2026144,310.0,immune,core,0,0,0
80171,241.7670500000004,10.102273000000425,11.7719715,44.90973872,13.3824228,2.225653207,10.11163895,421.0712589,0.0,0.346793349,234.432304,24.04750594,85.70071259,83.69833729,3.942992874,86.5391924,0.0,0.0,7.757719715,986.4085511,immune,core,0,0,0
80172,942.3018200000006,15.029091000000337,9.232899023,75.1970684,0.418566775,0.226384365,17.98371336,402.6954397,0.0,0.122149837,258.8289902,0.214983713,66.61400651,74.86319218,4.750814332,89.09934853,0.0,0.0,325.9934853,129.7019544,immune,core,0,0,0
80198,147.54406999999992,15.465046000000257,5.1966759,98.21606648,5.264542936,1.247922438,4.11634349,301.3144044,0.0,1.152354571,185.1426593,2.918282548,146.7257618,79.07894737,4.915512465,80.55955679,0.008310249,0.0,1.792243767,466.3711911,immune,core,0,0,0
80199,591.4485299999997,15.588235000000168,8.389156627,31.53614458,13.09036145,2.543373494,33.81038647,342.2258454,0.0,0.348192771,200.9855422,17.66626506,121.7797834,80.68592058,83.60409146,229.7244284,0.103739445,0.088057901,114.1797346,238.7225573,immune,core,0,0,0
80200,1133.0566,14.180593000000044,2.603658537,206.8155488,0.0,0.0,19.96189024,310.8262195,0.0,0.743902439,204.9618902,5.68902439,281.8125,70.38109756,0.74847561,0.230182927,0.134146341,0.047256098,335.3871951,183.0640244,immune,core,0,0,0
80201,1839.20442,11.022098999999798,6.096846847,21.82882883,4.862612613,3.209459459,6.463963964,343.3648649,0.0,1.617117117,306.7274775,0.0,0.873873874,56.25,63.72297297,270.4977477,0.0,0.0,271.2454955,296.1261261,immune,core,0,0,0
80235,1154.4210500000008,12.013157999999748,4.5,467.5462046,0.0,0.0,3.874587459,332.6930693,0.0,0.914191419,193.9636964,20.07260726,46.86138614,51.10726073,63.64521452,108.5115512,0.02970297,0.001650165,35.93069307,447.9108911,immune,core,0,0,0
80236,1338.1587299999992,10.941799000000174,7.594972067,212.0055866,1.455307263,0.276536313,2.952513966,385.7877095,0.0,0.212290503,245.5977654,5.907821229,28.08100559,132.7094972,57.46368715,35.91340782,0.002793296,0.0,139.2122905,465.1396648,immune,core,0,0,0
80237,1512.4168900000004,14.511873000000378,3.581395349,105.3367442,0.08372093,0.060465116,2.357209302,280.972093,0.017674419,1.113488372,147.5851163,48.1572093,25.79813953,245.3665116,12.14232558,142.8186047,0.457674419,2.744186047,198.9981395,261.544186,immune,core,0,0,0
80263,1103.4041500000003,14.896372999999585,3.184448463,293.8101266,0.003616637,0.0,28.01621622,313.8720721,0.0,1.206521739,230.0778986,0.019927536,10.93989071,206.7540984,8.557377049,11.58287796,0.0,0.0,86.91139241,279.3905967,immune,core,0,0,0
80264,1758.9414099999997,15.433594000000085,12.93260188,63.7523511,2.736677116,1.26645768,4.898119122,267.9858934,0.0,0.768025078,186.7084639,10.04545455,5.755485893,144.8354232,14.77586207,6.390282132,0.001567398,0.0,134.7147335,320.9639498,immune,core,0,0,0
80301,631.7456099999999,13.114034999999603,38.46865672,40.28059701,1.641791045,0.558208955,3.408955224,446.3820896,0.0,0.041791045,361.3701493,7.647761194,7.686567164,66.94029851,3.244776119,218.0865672,0.0,0.0,96.15223881,646.8298507,immune,core,0,0,0
80302,1951.4620300000008,13.689873000000262,6.468137255,330.245098,0.0,0.0,1.583333333,349.1053922,0.0,0.448529412,233.5147059,0.536764706,5.171568627,99.1495098,6.468137255,114.877451,0.0,0.0,263.3357843,152.247549,immune,core,0,0,0
80337,221.17949000000044,17.030768999999964,5.668407311,52.4308094,2.82767624,1.315926893,9.117493473,383.2715405,0.0,0.109660574,232.6971279,30.86684073,86.07832898,107.5300261,1.057441253,1.673629243,0.0,0.0,110.7780679,601.6736292,immune,core,0,0,0
80338,456.5063800000007,18.18297900000016,14.24318182,20.01363636,6.365909091,6.356818182,4.736363636,406.1113636,0.0,0.038636364,109.2681818,166.9772727,52.76590909,82.10227273,20.72045455,9.05,0.0,0.0,667.2113636,26.57045455,immune,core,0,0,0
80339,535.0217400000001,19.993789000000103,9.18459069,93.03370787,1.44141252,0.255216693,11.80769231,427.1826923,0.0,0.003205128,289.2019231,71.97115385,143.1942215,64.6035313,1.876404494,2.767255217,0.0,0.0,803.8846154,30.85096154,immune,core,0,0,0
80395,1027.2752299999993,17.495412999999644,12.44972067,121.2234637,1.525139665,0.223463687,4.893854749,560.6145251,0.0,0.416201117,354.0810056,0.93575419,16.81843575,236.924581,70.8603352,3.270949721,0.0,0.0,170.8268156,163.8910615,immune,core,0,0,0
80396,1538.5272700000005,20.9610389999998,5.597353497,25.3610586,3.107750473,2.536862004,2.542533081,398.1550095,0.0,0.098298677,191.7618147,69.56332703,182.2759924,106.5557656,0.001890359,12.71266541,0.0,0.0,495.2797732,130.0037807,immune,core,0,0,0
80397,1593.7254900000007,17.895424999999705,4.368012422,298.7965839,5.322981366,0.717391304,2.832298137,337.4549689,0.0,0.414596273,236.6537267,16.42236025,262.9006211,90.46273292,73.74689441,2.032608696,0.0,0.0,175.507764,358.8121118,immune,core,0,0,0
80424,168.60699000000022,20.362444999999752,2.055327869,167.9569672,3.829918033,0.334016393,4.856557377,354.4590164,0.0,0.241803279,164.0368852,30.57377049,292.0409836,99.44672131,0.075819672,3.491803279,0.698770492,0.129098361,13.0942623,388.6454918,immune,core,0,0,0
80425,517.9586999999992,21.53687300000001,7.551148225,117.9958246,1.235908142,1.342379958,259.5010438,205.9728601,0.0,0.574112735,336.3235908,0.0,123.3256785,151.2317328,7.296450939,0.010438413,0.0,0.0,274.7306889,124.7453027,immune,core,0,0,0
80426,668.7700000000004,18.98499999999968,4.198198198,148.3585586,1.043243243,0.297297297,2.533333333,277.9117117,0.0,0.073873874,45.70630631,135.9657658,15.84324324,430.8828829,1.643243243,24.52972973,2.104504505,3.783783784,97.00720721,289.3279279,immune,core,0,0,0
80427,744.1951900000004,20.826202999999623,5.704656863,20.0245098,39.64338235,4.334558824,10.63480392,338.7585784,0.0,0.035539216,125.7046569,151.2941176,153.497549,122.2463235,1.611519608,0.046568627,0.0,0.0,475.1102941,14.15073529,immune,core,0,0,0
80428,977.1115200000004,23.34572500000013,17.72123369,69.61447212,2.051008304,0.628706999,5.766310795,374.9905101,0.0,0.257413998,222.0450771,31.77342823,131.0320285,86.34638197,57.59311981,66.94780546,0.0,0.0,83.79359431,692.5421115,immune,core,0,0,0
80472,110.10748000000058,21.939252000000124,3.388746803,88.80051151,1.340153453,0.84398977,10.3657289,353.7851662,0.0,1.616368286,250.6828645,0.002557545,33.92071611,259.8030691,10.13554987,20.16624041,0.012787724,0.0,6.350383632,485.483376,immune,core,0,0,0
80473,1625.398150000001,27.55786999999964,2.399234694,333.255102,0.099489796,0.103316327,4.605867347,349.8022959,0.0,0.698979592,237.3227041,1.330357143,85.97704082,101.497449,189.8431122,88.2002551,0.010204082,0.0,111.3494898,317.7971939,immune,core,0,0,0
80508,193.3827199999996,25.115225999999893,3.937743191,313.2859922,1.780155642,0.001945525,4.036964981,364.5447471,0.0,0.435797665,291.2120623,0.906614786,152.3210117,129.9922179,10.20233463,21.38132296,0.0,0.0,20.0155642,552.5389105,immune,core,0,0,0
80509,827.44715,20.012195000000247,7.27221172,88.54064272,2.650283554,0.860113422,91.89224953,266.4499055,0.0,0.608695652,218.8884688,18.12476371,56.28166352,279.1361059,20.64839319,5.190926276,0.270321361,0.079395085,124.7126654,212.6672968,immune,core,0,0,0
80510,1324.2166699999998,21.546666999999616,6.790123457,99.00925926,0.12037037,0.070987654,3.688271605,429.3765432,0.0,0.104938272,300.5864198,59.58641975,0.163580247,9.515432099,4.682098765,511.5432099,0.0,0.0,502.5339506,192.9259259,immune,core,0,0,0
80511,1390.163640000001,19.92727300000024,5.147540984,20.97449909,6.149362477,5.12568306,3.014705882,412.6801471,0.0,0.424408015,289.6757741,7.18579235,1.389799636,143.701275,52.59016393,68.88342441,0.0,0.0,188.2531876,366.9854281,immune,core,0,0,0
80544,426.11511000000064,19.618704999999864,7.646341463,26.39837398,1.68699187,3.975609756,4.426829268,364.6056911,0.0,0.158536585,360.3739837,5.199186992,24.73577236,120.6626016,12.21138211,120.0365854,0.0,0.0,80.36585366,1140.731707,immune,core,0,0,0
80545,924.0,16.0,13.49489796,26.14795918,0.857142857,0.816326531,8.571428571,272.0306122,0.0,0.413265306,193.1887755,11.09183673,148.4285714,154.5765306,0.010204082,4.387755102,0.0,0.0,4.892857143,645.5765306,immune,core,0,0,0
80546,1210.5157199999994,21.44654100000025,83.53636364,30.99090909,42.22727273,1.056818182,2.606818182,266.1613636,0.0,1.022727273,208.0159091,7.561363636,123.0863636,40.55,2.827272727,991.0295455,0.3,0.0,112.2681818,391.0386364,immune,core,0,0,0
80547,1698.7047600000003,24.701586999999563,9.157798165,21.90091743,5.0,3.601834862,4.247706422,350.4238532,0.0,0.504587156,247.2422018,0.233027523,130.8422018,156.3027523,7.583486239,17.80550459,0.011009174,0.0,192.9009174,253.6623853,immune,core,0,0,0
80584,56.66504999999961,22.99029100000007,6.030368764,129.4577007,0.195227766,0.010845987,3.514099783,377.021692,0.0,0.021691974,301.3535792,29.13449024,43.43383948,110.5618221,115.0130152,294.5097614,0.0,0.0,215.7613883,199.8199566,immune,core,0,0,0
80585,492.9963800000005,20.666667000000416,9.951957295,25.96619217,8.606761566,3.578291815,31.79003559,296.8434164,0.0,0.117437722,303.3327402,12.53024911,55.75622776,160.2882562,53.28291815,1.902135231,0.0,0.0,321.3505338,113.13879,immune,core,0,0,0
80586,1267.0247500000005,26.92079199999989,7.284334764,395.2424893,0.35944206,0.039699571,3.870171674,374.0783262,0.0,0.025751073,192.9656652,63.06545064,77.72317597,166.5032189,26.35944206,23.88519313,0.0,0.0,500.8229614,37.30150215,immune,core,0,0,0
80618,406.8173399999996,24.309597999999824,12.43010753,70.27741935,3.131182796,1.546236559,40.61505376,459.7935484,0.0,0.268817204,258.9462366,72.16129032,5.189247312,45.07311828,140.5032258,217.8430108,0.0,0.0,602.288172,248.9655914,immune,core,0,0,0
80619,712.9827000000005,24.40830399999959,22.21501706,45.44197952,53.29692833,2.07337884,80.80546075,298.6569966,0.0,0.003412969,5.233788396,245.7133106,189.2986348,78.56313993,10.43003413,13.62457338,0.0,0.0,498.5085324,16.79692833,immune,core,0,0,0
80620,1006.8696999999992,24.30909100000008,5.698372966,80.12640801,1.425531915,0.832290363,8.181476846,337.9336671,0.0,1.450563204,248.6583229,0.040050063,3.314142678,105.698373,66.93617021,73.57196496,0.0,0.0,6.801001252,825.0375469,immune,core,0,0,0
80621,1125.0144400000008,27.23465699999997,3.663090129,85.27682403,0.08583691,0.103004292,118.6351931,231.7360515,0.0,0.068669528,291.9763948,3.472103004,115.5493562,192.9334764,0.040772532,25.55793991,0.0,0.0,121.7339056,448.0085837,immune,core,0,0,0
80622,1667.6411499999997,26.07176999999956,8.98773842,35.25885559,7.671662125,2.314713896,92.5613079,283.9128065,0.0,0.611716621,292.1076294,0.001362398,46.64441417,106.5395095,28.03678474,20.36648501,0.050408719,0.0,153.9536785,286.4495913,immune,core,0,0,0
